Name,Review,Date,Dev name,Tags
Box Maze 2 : Agent Cubert,Positive,"Jan 5, 2018",,"['Casual', 'Action', 'Adventure', 'Indie', 'Strategy', 'Platformer']"
catAnod,Positive,"Apr 23, 2018",,"['Indie', '2D', 'Puzzle', 'Singleplayer', 'Minimalist', 'Casual', 'Atmospheric', 'Family Friendly', 'Relaxing', 'Hex Grid']"
Escape: Close Call,Positive,"Mar 24, 2016",,"['Action', 'Indie', 'Casual']"
Mortal Kombat 11 Gothic Horror Skin Pack,Positive,"Dec 3, 2019",,"['Action', 'Gore', 'Violent']"
Last Encounter,Positive,"May 8, 2018",,"['Action Roguelike', 'Action', 'Indie', 'Roguelite', 'Local Co-Op', 'Top-Down Shooter', 'Space', 'Co-op', 'Family Friendly', '4 Player Local', 'Colorful', 'Procedural Generation', 'Great Soundtrack', 'Sci-fi', 'Shooter', 'Roguelike', ""Shoot 'Em Up"", 'Top-Down', 'Local Multiplayer', 'Dungeon Crawler']"
Trouble Travel TT,Positive,"Feb 15, 2019",,"['Action', 'Casual', 'Adventure']"
,,,,
,,,,
Mage Mania,Positive,"Dec 13, 2019",,"['Indie', 'Casual', 'Action', 'Local Multiplayer', 'Magic']"
Alien Carnage / Halloween Harry,Positive,"Nov 4, 1994",,"['Action', 'Platformer', 'Classic']"
Battle of Empires : 1914-1918 - Editor,Positive,"Dec 10, 2014",,"['Strategy', 'Action']"
Oblivious Garden ~White Day,Positive,"Jul 20, 2015",,"['Casual', 'Indie', 'Sexual Content', 'Anime']"
DOA6 Happy Wedding Costume Vol.1 Set,Positive,"Mar 14, 2019",,"['Sexual Content', 'Nudity', 'Action', 'Gore', 'Violent']"
Xenia,Positive,"Sep 1, 2017",,"['Indie', 'Action', 'Metroidvania']"
Kingdom Come: Deliverance – HD Voice Pack German,Positive,"Mar 29, 2018",,"['Action', 'Adventure', 'RPG']"
rumii,Positive,"Jun 26, 2018",,"['Education', 'Simulation', 'Software Training', 'VR']"
Endless Space® 2 - Target Locked Update,Positive,"Sep 12, 2017",,['Strategy']
PixARK-Skyward Structure Style Pack,Positive,"Sep 24, 2019",,"['Action', 'RPG', 'Massively Multiplayer', 'Strategy', 'Adventure', 'Casual']"
,,,,
Tabletop Simulator - Scythe,Positive,"Feb 26, 2016",,"['Strategy', 'RPG', 'Simulation', 'Indie', 'Casual']"
Horizon Chase Turbo - Summer Vibes,Positive,"Sep 17, 2019",,"['Action', 'Indie', 'Casual', 'Racing', 'Sports']"
MiG-29 Fulcrum,Positive,"Sep 7, 1998",,"['Simulation', 'Flight']"
Burn It Down,Positive,"Aug 3, 2017",,"['Indie', 'Adventure', 'Platformer', '2D', 'Great Soundtrack', 'Difficult', 'Dark', 'Puzzle Platformer']"
Almost There: The Platformer,Positive,"Feb 19, 2019",,"['Indie', 'Action', 'Casual', 'Strategy', 'Platformer', 'Unforgiving', 'Parkour', 'Replay Value', 'Difficult', 'Addictive', 'Cartoon', 'Singleplayer', 'Cartoony', '2D', 'Fast-Paced', 'Great Soundtrack', 'Controller', 'Silent Protagonist', 'Minimalist', 'Atmospheric']"
Zombie Derby,Very Positive,"May 13, 2013",,"['Racing', 'Action', 'Indie', 'Vehicular Combat', 'Automobile Sim', 'Combat Racing', 'Gore', 'Violent', 'Driving', 'Zombies', 'Arcade', 'Side Scroller']"
,,,,
Mushroom Quest,Positive,"Jun 18, 2018",,"['Casual', 'Indie', 'Puzzle', 'Pixel Graphics', 'Sokoban', 'Singleplayer', 'Family Friendly', 'Cute', 'Linear', 'Atmospheric', '2D', 'Minimalist', 'Relaxing', 'Exploration', 'Adventure', 'Remake']"
Blood Bowl 2 - Official Expansion,Positive,"Sep 5, 2017",,"['Strategy', 'Sports']"
Dinosaur Hunting Patrol 3D Multiplayer Online,Positive,"Oct 7, 2019",,"['Action', 'Adventure', 'Dinosaurs', 'Multiplayer']"
